meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Paris 2024,52.33,31/07/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,1,1,964,Paris,FRA
Olympic Games Paris 2024,52.48,27/07/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,2,2,956,Paris,FRA
Mare Nostrum Canet 2024,52.55,26/05/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,3,3,952,Canet-en-Roussillon,FRA
World Aquatics Championships - Doha 2024,52.56,16/02/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,4,4,952,Doha,QAT
Olympic Games Paris 2024,52.64,30/07/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,5,5,947,Paris,FRA
2024 China National Swimming Championships,52.68,23/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,6,6,945,Shenzhen,CHN
Mare Nostrum MON 2024,52.72,02/06/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,7,7,943,Monaco,MON
2024 TYR Pro Series TX,52.74,11/04/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,8,8,942,San Antonio,USA
Mare Nostrum BCN 2024,52.76,29/05/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,9,9,941,Barcelona,ESP
Sette colli 2024,52.78,22/06/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,10,10,940,Rome,ITA
Olympic Games Paris 2024,52.81,30/07/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,11,11,938,Paris,FRA
Olympic Games Paris 2024,52.82,31/07/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,12,12,938,Paris,FRA
World Aquatics Championships - Doha 2024,52.92,15/02/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,13,13,932,Doha,QAT
2024 China National Swimming Championships,53.00,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,14,14,928,Shenzhen,CHN
Olympic Games Paris 2024,53.02,30/07/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,15,15,927,Paris,FRA
Olympic Games Paris 2024,53.05,30/07/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,16,16,926,Paris,FRA
