meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Paris 2024,46.40,31/07/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,1,1,1030,Paris,FRA
World Aquatics Championships - Doha 2024,46.80,11/02/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,2,2,1003,Doha,QAT
LEN Championships 2024,46.88,19/06/2024,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,3,3,998,Belgrade,SRB
Olympic Games Paris 2024,46.92,27/07/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,4,4,996,Paris,FRA
2024 China National Swimming Championships,46.97,23/04/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,5,5,992,Shenzhen,CHN
2024 U.S. Olympic Trials,47.08,18/06/2024,Men's 100m Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,6,6,986,Indianapolis,USA
Olympic Games Paris 2024,47.21,30/07/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,7,7,977,Paris,FRA
LEN Championships 2024,47.22,20/06/2024,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,8,8,977,Belgrade,SRB
2024 U.S. Olympic Trials,47.25,18/06/2024,Men's 100m Freestyle LCM Male,USA,United States of America,"GUILIANO, Chris",M,25/06/2003,,,9,9,975,Indianapolis,USA
French Elite 2024,47.33,18/06/2024,Men's 100m Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,10,10,970,Chartres,FRA
2024 U.S. Olympic Trials,47.33,18/06/2024,Men's 100m Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,10,11,970,Indianapolis,USA
2024 U.S. Olympic Trials,47.38,19/06/2024,Men's 100m Freestyle LCM Male,USA,United States of America,"GUILIANO, Chris",M,25/06/2003,,,12,12,967,Indianapolis,USA
2024 U.S. Olympic Trials,47.47,19/06/2024,Men's 100m Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,13,13,961,Indianapolis,USA
Olympic Games Paris 2024,47.48,31/07/2024,Men's 100m Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,14,14,961,Paris,FRA
Olympic Games Paris 2024,47.49,31/07/2024,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,15,15,960,Paris,FRA
LEN Championships 2024,47.49,19/06/2024,Men's 100m Freestyle LCM Male,HUN,Hungary,"NEMETH, Nandor",M,19/11/1999,,,15,16,960,Belgrade,SRB
Olympic Games Paris 2024,47.50,31/07/2024,Men's 100m Freestyle LCM Male,HUN,Hungary,"NEMETH, Nandor",M,19/11/1999,,,17,17,960,Paris,FRA
2024 U.S. Olympic Trials,47.53,19/06/2024,Men's 100m Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,18,18,958,Indianapolis,USA
2024 U.S. Olympic Trials,47.53,18/06/2024,Men's 100m Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,18,19,958,Indianapolis,USA
