meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
2025 Chinese National Championships (50m),47.77,21/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,1,1,916,Shenzhen,CHN
World Aquatics Championships - Singapore 2025,47.81,30/07/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,2,2,914,Singapore,SGP
World Aquatics Championships - Singapore 2025,47.86,30/07/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,3,3,911,Singapore,SGP
World Aquatics Championships - Singapore 2025,47.94,30/07/2025,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,4,4,906,Singapore,SGP
World Aquatics Championships - Singapore 2025,47.94,30/07/2025,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,4,5,906,Singapore,SGP
KB Financial Korea Swimming Championships,47.96,24/03/2025,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"KIM, Youngbeom",M,31/03/2006,,,6,6,905,Gimcheon,KOR
KB Financial Korea Swimming Championships,47.98,24/03/2025,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"KIM, Youngbeom",M,31/03/2006,,,7,7,904,Gimcheon,KOR
2025 Chinese National Championships (50m),48.00,17/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"CHEN, Juner",M,17/02/2004,,,8,8,903,Shenzhen,CHN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),48.01,14/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,9,9,902,Shenzhen,CHN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),48.13,13/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,10,10,895,Shenzhen,CHN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),48.25,14/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"LIU, Wudi",M,28/07/2005,,,11,11,889,Shenzhen,CHN
2025 Chinese National Championships (50m),48.36,21/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,12,12,883,Shenzhen,CHN
2025 Japan National Swimming Championships (50m),48.36,22/03/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,12,13,883,Tokyo,JPN
KB Financial Korea Swimming Championships,48.41,24/03/2025,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,14,14,880,Gimcheon,KOR
2025 Chinese National Championships (50m),48.42,21/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"LIU, Wudi",M,28/07/2005,,,15,15,879,Shenzhen,CHN
79th Japan Games (50m),48.43,14/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MURASA, Tatsuya",M,27/03/2007,,,16,16,879,Kusatsu,JPN
40th Shizuoka Junior Swimming Championship 2025 (50m),48.44,27/07/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Shuya",M,10/05/2000,,,17,17,878,Fuji,JPN
2025 China Spring National Championships (50m),48.44,21/03/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"HE, Junyi",M,02/08/1997,,,17,18,878,Qingdao,CHN
79th Japan Games (50m),48.45,14/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Shuya",M,10/05/2000,,,19,19,878,Kusatsu,JPN
2025 China Spring National Championships (50m),48.45,21/03/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,19,20,878,Qingdao,CHN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),48.49,14/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"ZHAO, Jiayue",M,22/10/2006,,,21,21,876,Shenzhen,CHN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),48.49,14/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,21,22,876,Shenzhen,CHN
2025 Chinese National Championships (50m),48.49,20/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"HE, Junyi",M,02/08/1997,,,21,23,876,Shenzhen,CHN
World Aquatics Championships - Singapore 2025,48.50,30/07/2025,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"KIM, Youngbeom",M,31/03/2006,,,24,24,875,Singapore,SGP
